acquired,plot,blue,green,red,nir,veg_smr,ndvi,evi,arvi,savi,msavi,msavi_exp,gcc,gri,row,panel,Date,Treatment,Block,PM_severity,DM_severity,total_dis,geometry,centroid,PM_inc,DM_inc
20210707,1,0.0320064521604968,0.0664322606978878,0.0400838698110272,0.290003192040228,0.5780120357390373,0.7564611127299647,0.4840278625488281,0.7144742165842364,0.4513475356563445,0.2515819918724798,0.4730112629552041,0.4799709320068359,1.6639935893397175,1,1,2021-07-07,5.0,DM,0.0,0.0,0.05,"POLYGON ((-77.0152645742787 42.878300949250196, -77.01535545427274 42.87831851925121, -77.01535240633272 42.87832723797974, -77.0152615263266 42.87830966797658, -77.0152645742787 42.878300949250196))",POINT (-77.0153084903025 42.8783140936145),0.0,0.0
20210707,2,0.0335275900774988,0.0678793109696486,0.0433241375561418,0.2702896512787917,0.5196520048996498,0.7231584088555698,0.443640084102236,0.6710349773538524,0.4182551153774919,0.208013024823419,0.4236160804485452,0.4694436829665611,1.5729516128013874,1,2,2021-07-07,7.0,DM,0.0,0.0,0.1,"POLYGON ((-77.01535545427274 42.87831851925121, -77.01544069426711 42.87833411925217, -77.01543764633853 42.878342837982714, -77.01535240633272 42.87832723797974, -77.01535545427274 42.87831851925121))",POINT (-77.0153965503027 42.87833067861654),0.0,0.0
20210707,3,0.0339033325513203,0.0678966681162516,0.0429466684659322,0.2738166809082031,0.5286269823710124,0.7286720911661784,0.4519459724426269,0.6807468414306641,0.4239386876424154,0.2152514139811198,0.4311901728312174,0.4693392435709635,1.5847970326741536,1,3,2021-07-07,9.0,DM,0.0,0.0,0.1,"POLYGON ((-77.01544069426711 42.87833411925217, -77.01552730426143 42.878350659253144, -77.0155242563444 42.87835937798574, -77.01543764633853 42.878342837982714, -77.01544069426711 42.87833411925217))",POINT (-77.01548247530272 42.87834674861851),0.0,0.0
20210707,4,0.0328677431229622,0.0673580631133048,0.0420548377498503,0.2804548509659306,0.5484181680986958,0.7389371318201865,0.4633583868703534,0.6907558441162109,0.4346351008261404,0.2294998784219065,0.4471862239222373,0.4734837931971396,1.6037784699470763,1,4,2021-07-07,15.0,DM,0.0,0.0,0.6,"POLYGON ((-77.01552730426143 42.878350659253144, -77.01561588425558 42.87836680925413, -77.01561283635041 42.87837552798884, -77.0155242563444 42.87835937798574, -77.01552730426143 42.878350659253144))",POINT (-77.01557007030289 42.87836309362055),0.0,0.0
20210707,5,0.0321035725729806,0.066635719367436,0.0388357128415788,0.2926642894744873,0.5871507099696568,0.7655811991010394,0.4938265255519322,0.7305821691240583,0.4578263759613037,0.2588638067245483,0.4818955489567348,0.4844918251037597,1.7188329696655271,1,5,2021-07-07,3.0,DM,0.0,0.0,0.1,"POLYGON ((-77.01561588425558 42.87836680925413, -77.01570014425 42.878381989255075, -77.01569709635612 42.87839070799176, -77.01561283635041 42.87837552798884, -77.01561588425558 42.87836680925413))",POINT (-77.01565649030296 42.878378758622546),0.0,0.0
20210707,6,0.0328129030043079,0.0682709678526847,0.039848389164094,0.2917838558073967,0.5797037309215914,0.7595638767365487,0.490204595750378,0.7231756025745023,0.4543345359063918,0.255262344114242,0.4759456880630985,0.4845015618108934,1.7146720886230469,1,6,2021-07-07,11.0,DM,0.0,0.0,0.1,"POLYGON ((-77.01570014425 42.878381989255075, -77.01579094424405 42.87839937925609, -77.01578789636228 42.878408097994935, -77.01569709635612 42.87839070799176, -77.01570014425 42.878381989255075))",POINT (-77.01574402030295 42.87839504362453),0.0,0.0
20210707,7,0.030803450222673,0.0675517238419631,0.0384689692793221,0.2965965270996094,0.5976014630547886,0.7702602518015894,0.4978494315311826,0.7306772429367592,0.4636088404162177,0.2671808045485924,0.4909617654208479,0.4937874366497171,1.758075056404903,1,7,2021-07-07,8.0,DM,0.0,0.0,0.1,"POLYGON ((-77.01579094424405 42.87839937925609, -77.01587402423856 42.87841479925702, -77.01587097636792 42.87842351799784, -77.01578789636228 42.878408097994935, -77.01579094424405 42.87839937925609))",POINT (-77.01583096030309 42.87841144862656),0.0,0.0
20210707,8,0.0328172404190589,0.0670689632152689,0.0388689657737468,0.3089448336897225,0.6239149159398573,0.7764142135093952,0.5210292421538254,0.7460766496329472,0.4777776783910291,0.2905481930436759,0.5134855796550882,0.4835857194045494,1.72759930840854,1,8,2021-07-07,4.0,DM,0.0,0.0,0.2,"POLYGON ((-77.01587402423856 42.87841479925702, -77.01596069423286 42.878431769258, -77.01595764637376 42.87844048800086, -77.01587097636792 42.87842351799784, -77.01587402423856 42.87841479925702))",POINT (-77.01591583530309 42.8784276436285),0.0,0.0
20210707,9,0.0329218730330467,0.0677000060677528,0.0388343706727027,0.3055187463760376,0.6150991916656494,0.7743538618087769,0.516186535358429,0.7445142269134521,0.4737147092819214,0.2838958501815796,0.506568431854248,0.4856480360031128,1.7456973791122437,1,9,2021-07-07,13.0,DM,0.0,0.0,0.2,"POLYGON ((-77.01596069423286 42.878431769258, -77.01605424422672 42.878449719259045, -77.01605119638012 42.87845843800412, -77.01595764637376 42.87844048800086, -77.01596069423286 42.878431769258))",POINT (-77.01600594530318 42.87844510363057),0.0,0.0
20210707,10,0.0319733341534932,0.067413330078125,0.0387300014495849,0.3046999931335449,0.6148207346598308,0.7743253072102865,0.5125683466593425,0.7402127583821615,0.4729265530904134,0.2825196266174316,0.5057647705078125,0.4882749239603678,1.7441165924072266,1,10,2021-07-07,14.0,DM,0.0,0.0,0.35,"POLYGON ((-77.01605424422672 42.878449719259045, -77.01613850422115 42.87846450926, -77.01613545638585 42.87847322800707, -77.01605119638012 42.87845843800412, -77.01605424422672 42.878449719259045))",POINT (-77.01609485030343 42.87846147363265),0.0,0.0
