acquired,plot,blue,green,red,nir,row,panel,Date,Treatment,Block,PM_severity,DM_severity,total_dis,geometry,centroid
20220622,1,0.26558993657430013,0.34002679189046225,0.3116041501363119,0.7549942016601563,1,1,2022-06-22,26.0,PM,0.0,0.0,0.75,"POLYGON ((-77.0152645742787 42.878300949250196, -77.01535545427274 42.87831851925121, -77.01535240633272 42.87832723797974, -77.0152615263266 42.87830966797658, -77.0152645742787 42.878300949250196))",POINT (-77.0153084903025 42.8783140936145)
20220622,2,0.26662170475926894,0.3420717305150525,0.31867941494645746,0.7344069645322603,1,2,2022-06-22,17.0,PM,0.0,0.0,1.05,"POLYGON ((-77.01535545427274 42.87831851925121, -77.01544069426711 42.87833411925217, -77.01543764633853 42.878342837982714, -77.01535240633272 42.87832723797974, -77.01535545427274 42.87831851925121))",POINT (-77.0153965503027 42.87833067861654)
20220622,3,0.2685720750263759,0.3455392973763602,0.3138656956808908,0.7401343754359654,1,3,2022-06-22,31.0,PM,0.0,0.0,0.5,"POLYGON ((-77.01544069426711 42.87833411925217, -77.01552730426143 42.878350659253144, -77.0155242563444 42.87835937798574, -77.01543764633853 42.878342837982714, -77.01544069426711 42.87833411925217))",POINT (-77.01548247530272 42.87834674861851)
20220622,4,0.2634971300760905,0.3460642496744792,0.3181577682495117,0.7499006907145183,1,4,2022-06-22,3.0,PM,0.0,0.0,0.95,"POLYGON ((-77.01552730426143 42.878350659253144, -77.01561588425558 42.87836680925413, -77.01561283635041 42.87837552798884, -77.0155242563444 42.87835937798574, -77.01552730426143 42.878350659253144))",POINT (-77.01557007030289 42.87836309362055)
20220622,5,0.2692102728218868,0.344938376854206,0.323593073877795,0.7389324451314991,1,5,2022-06-22,27.0,PM,0.0,0.0,0.8,"POLYGON ((-77.01561588425558 42.87836680925413, -77.01570014425 42.878381989255075, -77.01569709635612 42.87839070799176, -77.01561283635041 42.87837552798884, -77.01561588425558 42.87836680925413))",POINT (-77.01565649030296 42.878378758622546)
20220622,6,0.2731074979228358,0.34961783501409716,0.3261183154198431,0.7266644508607926,1,6,2022-06-22,23.0,PM,0.0,0.0,0.8,"POLYGON ((-77.01570014425 42.878381989255075, -77.01579094424405 42.87839937925609, -77.01578789636228 42.878408097994935, -77.01569709635612 42.87839070799176, -77.01570014425 42.878381989255075))",POINT (-77.01574402030295 42.87839504362453)
20220622,7,0.279848541532244,0.3559093475341797,0.3403679302760533,0.7180486406598773,1,7,2022-06-22,35.0,PM,0.0,0.325,3.2750000000000004,"POLYGON ((-77.01579094424405 42.87839937925609, -77.01587402423856 42.87841479925702, -77.01587097636792 42.87842351799784, -77.01578789636228 42.878408097994935, -77.01579094424405 42.87839937925609))",POINT (-77.01583096030309 42.87841144862656)
20220622,8,0.28144090516226633,0.35916522571018766,0.34376934596470426,0.726161139351981,1,8,2022-06-22,5.0,PM,0.0,0.175,0.825,"POLYGON ((-77.01587402423856 42.87841479925702, -77.01596069423286 42.878431769258, -77.01595764637376 42.87844048800086, -77.01587097636792 42.87842351799784, -77.01587402423856 42.87841479925702))",POINT (-77.01591583530309 42.8784276436285)
20220622,9,0.27967574379660864,0.35870754357540247,0.34208971081358014,0.7198230281020656,1,9,2022-06-22,14.0,PM,0.0,0.025,1.025,"POLYGON ((-77.01596069423286 42.878431769258, -77.01605424422672 42.878449719259045, -77.01605119638012 42.87845843800412, -77.01595764637376 42.87844048800086, -77.01596069423286 42.878431769258))",POINT (-77.01600594530318 42.87844510363057)
20220622,10,0.2706843784877232,0.35251007761274067,0.3356266702924456,0.7354032652718681,1,10,2022-06-22,9.0,PM,0.0,1.275,2.625,"POLYGON ((-77.01605424422672 42.878449719259045, -77.01613850422115 42.87846450926, -77.01613545638585 42.87847322800707, -77.01605119638012 42.87845843800412, -77.01605424422672 42.878449719259045))",POINT (-77.01609485030343 42.87846147363265)
20220622,11,0.281949076159247,0.36320456143083246,0.3442802429199219,0.7052216365419585,1,11,2022-06-22,34.0,PM,0.0,0.075,1.425,"POLYGON ((-77.01613850422115 42.87846450926, -77.01622493421546 42.87848145926097, -77.01622188639168 42.878490178010075, -77.01613545638585 42.87847322800707, -77.01613850422115 42.87846450926))",POINT (-77.01618019530333 42.87847734363459)
