acquired,plot,blue,green,red,nir,row,panel,Date,Treatment,Block,PM_severity,DM_severity,total_dis,geometry,centroid,PM_inc,DM_inc
20200618,1,0.04004375,0.077490625,0.071215625,0.353575,1,1,2020-06-18,5.0,PM,0.0,0.0,0.0,"POLYGON ((-77.0152645742787 42.878300949250196, -77.01535545427274 42.87831851925121, -77.01535240633272 42.87832723797974, -77.0152615263266 42.87830966797658, -77.0152645742787 42.878300949250196))",POINT (-77.0153084903025 42.8783140936145),0.0,0.0
20200618,2,0.0446933333333333,0.0818066666666666,0.0771333333333333,0.3365866666666667,1,2,2020-06-18,9.0,PM,0.0,0.05,5.05,"POLYGON ((-77.01535545427274 42.87831851925121, -77.01544069426711 42.87833411925217, -77.01543764633853 42.878342837982714, -77.01535240633272 42.87832723797974, -77.01535545427274 42.87831851925121))",POINT (-77.0153965503027 42.87833067861654),0.0,5.0
20200618,4,0.0401214285714285,0.0763964285714285,0.0706928571428571,0.3434821428571428,1,4,2020-06-18,18.0,PM,0.0,0.0,0.5,"POLYGON ((-77.01552730426143 42.878350659253144, -77.01561588425558 42.87836680925413, -77.01561283635041 42.87837552798884, -77.0155242563444 42.87835937798574, -77.01552730426143 42.878350659253144))",POINT (-77.01557007030289 42.87836309362055),0.0,0.0
20200618,5,0.0348620689655172,0.0734965517241379,0.0607724137931034,0.3582793103448276,1,5,2020-06-18,6.0,PM,0.0,0.0,15.1,"POLYGON ((-77.01561588425558 42.87836680925413, -77.01570014425 42.878381989255075, -77.01569709635612 42.87839070799176, -77.01561283635041 42.87837552798884, -77.01561588425558 42.87836680925413))",POINT (-77.01565649030296 42.878378758622546),0.0,0.0
20200618,6,0.0393,0.07507,0.0688933333333333,0.3378166666666666,1,6,2020-06-18,2.0,PM,0.0,0.0,5.65,"POLYGON ((-77.01570014425 42.878381989255075, -77.01579094424405 42.87839937925609, -77.01578789636228 42.878408097994935, -77.01569709635612 42.87839070799176, -77.01570014425 42.878381989255075))",POINT (-77.01574402030295 42.87839504362453),0.0,0.0
20200618,6,0.0393,0.07507,0.0688933333333333,0.3378166666666666,1,6,2020-06-18,2.0,PM,0.0,0.0,2.0,"POLYGON ((-77.01570014425 42.878381989255075, -77.01579094424405 42.87839937925609, -77.01578789636228 42.878408097994935, -77.01569709635612 42.87839070799176, -77.01570014425 42.878381989255075))",POINT (-77.01574402030295 42.87839504362453),,
20200618,7,0.0371296296296296,0.0727888888888888,0.0630481481481481,0.3444,1,7,2020-06-18,15.0,PM,0.0,0.0,0.35,"POLYGON ((-77.01579094424405 42.87839937925609, -77.01587402423856 42.87841479925702, -77.01587097636792 42.87842351799784, -77.01578789636228 42.878408097994935, -77.01579094424405 42.87839937925609))",POINT (-77.01583096030309 42.87841144862656),0.0,0.0
20200618,8,0.0361066666666666,0.0725266666666666,0.06088,0.35612,1,8,2020-06-18,11.0,PM,0.0,0.0,5.2,"POLYGON ((-77.01587402423856 42.87841479925702, -77.01596069423286 42.878431769258, -77.01595764637376 42.87844048800086, -77.01587097636792 42.87842351799784, -77.01587402423856 42.87841479925702))",POINT (-77.01591583530309 42.8784276436285),0.0,0.0
20200618,9,0.0385838709677419,0.0739354838709677,0.0662548387096774,0.3339774193548387,1,9,2020-06-18,10.0,PM,0.0,0.0,6.15,"POLYGON ((-77.01596069423286 42.878431769258, -77.01605424422672 42.878449719259045, -77.01605119638012 42.87845843800412, -77.01595764637376 42.87844048800086, -77.01596069423286 42.878431769258))",POINT (-77.01600594530318 42.87844510363057),0.0,5.0
20200618,9,0.0385838709677419,0.0739354838709677,0.0662548387096774,0.3339774193548387,1,9,2020-06-18,10.0,PM,0.0,0.05,5.05,"POLYGON ((-77.01596069423286 42.878431769258, -77.01605424422672 42.878449719259045, -77.01605119638012 42.87845843800412, -77.01595764637376 42.87844048800086, -77.01596069423286 42.878431769258))",POINT (-77.01600594530318 42.87844510363057),,
20200618,10,0.0335642857142857,0.0691464285714285,0.060875,0.3500607142857143,1,10,2020-06-18,8.0,PM,0.0,0.0,0.05,"POLYGON ((-77.01605424422672 42.878449719259045, -77.01613850422115 42.87846450926, -77.01613545638585 42.87847322800707, -77.01605119638012 42.87845843800412, -77.01605424422672 42.878449719259045))",POINT (-77.01609485030343 42.87846147363265),0.0,0.0
20200618,16,0.03581875,0.070559375,0.0603875,0.350690625,1,16,2020-06-18,21.0,PM,0.0,0.0,5.1,"POLYGON ((-77.01657162419265 42.878547489264875, -77.01666455418655 42.878565659265924, -77.01666150642144 42.878574378025434, -77.01656857641517 42.8785562080222, -77.01657162419265 42.878547489264875))",POINT (-77.01661656530372 42.87856093364467),0.0,0.0
20200618,18,0.0478,0.085437037037037,0.0845555555555555,0.324,2,2,2020-06-18,17.0,PM,0.0,0.0,0.2,"POLYGON ((-77.01535716363179 42.87834444724656, -77.01544010362635 42.878360347247515, -77.0154370769793 42.87836906998736, -77.01535413697367 42.878353169984464, -77.01535716363179 42.87834444724656))",POINT (-77.01539712030262 42.87835675861655),0.0,0.0
20200618,19,0.0455655172413793,0.0830137931034482,0.0794413793103448,0.3214655172413793,2,3,2020-06-18,18.0,PM,0.0,0.0,2.55,"POLYGON ((-77.01544010362635 42.878360347247515, -77.01552583362069 42.87837611724848, -77.01552280698512 42.87838483999034, -77.0154370769793 42.87836906998736, -77.01544010362635 42.878360347247515))",POINT (-77.01548145530275 42.8783725936185),0.0,0.0
20200618,20,0.0419862068965517,0.0782551724137931,0.0732862068965517,0.345103448275862,2,4,2020-06-18,7.0,PM,0.0,0.1,5.3,"POLYGON ((-77.01552583362069 42.87837611724848, -77.01561655361472 42.878393657249504, -77.01561352699126 42.878402379993496, -77.01552280698512 42.87838483999034, -77.01552583362069 42.87837611724848))",POINT (-77.01556968030273 42.87838924862052),0.0,5.0
20200618,21,0.0406965517241379,0.0762241379310344,0.0670931034482758,0.3462482758620689,2,5,2020-06-18,15.0,PM,0.0,0.0,1.3,"POLYGON ((-77.01561655361472 42.878393657249504, -77.01570177360908 42.87840924725045, -77.01569874699705 42.87841796999645, -77.01561352699126 42.878402379993496, -77.01561655361472 42.878393657249504))",POINT (-77.01565765030291 42.878405813622564),0.0,0.0
20200618,22,0.0406586206896551,0.0784793103448275,0.0720551724137931,0.3390275862068965,2,6,2020-06-18,8.0,PM,0.0,0.0,0.75,"POLYGON ((-77.01570177360908 42.87840924725045, -77.01578994360328 42.87842550725146, -77.01578691700306 42.87843422999952, -77.01569874699705 42.87841796999645, -77.01570177360908 42.87840924725045))",POINT (-77.015744345303 42.87842173862455),0.0,0.0
20200618,24,0.0423586206896551,0.0805172413793103,0.0749103448275862,0.343048275862069,2,8,2020-06-18,21.0,PM,0.0,0.0,0.6,"POLYGON ((-77.0158741935977 42.87844101725241, -77.01596197359193 42.8784577972534, -77.01595894701471 42.8784665200055, -77.01587116700875 42.87844974000245, -77.0158741935977 42.87844101725241))",POINT (-77.01591657030309 42.87845376862851),0.0,0.0
20200618,24,0.0423586206896551,0.0805172413793103,0.0749103448275862,0.343048275862069,2,8,2020-06-18,21.0,PM,0.0,0.0,0.85,"POLYGON ((-77.0158741935977 42.87844101725241, -77.01596197359193 42.8784577972534, -77.01595894701471 42.8784665200055, -77.01587116700875 42.87844974000245, -77.0158741935977 42.87844101725241))",POINT (-77.01591657030309 42.87845376862851),,
20200618,25,0.0443066666666666,0.0797033333333333,0.0777066666666666,0.3280233333333333,2,9,2020-06-18,20.0,PM,0.0,0.0,3.6,"POLYGON ((-77.01596197359193 42.8784577972534, -77.01605269358596 42.87847410725443, -77.01604966702091 42.87848283000867, -77.01595894701471 42.8784665200055, -77.01596197359193 42.8784577972534))",POINT (-77.01600582030329 42.878470313630594),0.0,0.0
20200618,26,0.0387733333333333,0.07552,0.0680133333333333,0.33901,2,10,2020-06-18,14.0,PM,0.0,0.0,5.25,"POLYGON ((-77.01605269358596 42.87847410725443, -77.0161384035803 42.87849049725541, -77.01613537702671 42.878499220011655, -77.01604966702091 42.87848283000867, -77.01605269358596 42.87847410725443))",POINT (-77.0160940353033 42.878486663632614),0.0,0.0
20200618,28,0.0429806451612903,0.0777870967741935,0.0722387096774193,0.3319225806451613,2,12,2020-06-18,24.0,PM,0.0,0.0,0.55,"POLYGON ((-77.01622414357463 42.878506377256386, -77.01631334356878 42.87852341725739, -77.01631031703857 42.878532140017754, -77.01622111703252 42.878515100014646, -77.01622414357463 42.878506377256386))",POINT (-77.01626723030346 42.878519258636615),0.0,0.0
20200618,31,0.0414482758620689,0.0757310344827586,0.0693862068965517,0.3418068965517241,2,15,2020-06-18,13.0,PM,0.0,0.0,2.0,"POLYGON ((-77.01648455355748 42.878555717259346, -77.01657232355171 42.87857230726035, -77.01656929705614 42.87858103002678, -77.01648152705017 42.87856444002372, -77.01648455355748 42.878555717259346))",POINT (-77.01652692530372 42.878568373642615),0.0,0.0
20200618,34,0.0422379310344827,0.0777413793103448,0.0754137931034482,0.3246344827586207,3,2,2020-06-18,24.0,PM,0.0,0.0,0.1,"POLYGON ((-77.0153567946305 42.87836706931872, -77.01544332462481 42.878383069319675, -77.01544027598082 42.87839178791532, -77.01535374597496 42.878375787912304, -77.0153567946305 42.87836706931872))",POINT (-77.01539853530268 42.8783794286166),0.0,0.0
20200618,37,0.0355620689655172,0.0695275862068965,0.0606689655172413,0.3451655172413793,3,5,2020-06-18,4.0,PM,0.0,0.0,2.05,"POLYGON ((-77.01561916461324 42.87841697932166, -77.01570468460761 42.8784327193226, -77.01570163599854 42.87844143792444, -77.01561611599273 42.878425697921465, -77.01561916461324 42.87841697932166))",POINT (-77.01566040030295 42.878429208622634),0.0,0.0
20200618,38,0.0372464285714285,0.0721571428571428,0.0652321428571428,0.3402,3,6,2020-06-18,10.0,PM,0.0,0.0,10.5,"POLYGON ((-77.01570468460761 42.8784327193226, -77.01579154460191 42.87844946932359, -77.01578849600443 42.878458187927485, -77.01570163599854 42.87844143792444, -77.01570468460761 42.8784327193226))",POINT (-77.01574659030295 42.8784454536246),0.0,0.0
20200618,40,0.0356566666666666,0.0711833333333333,0.06402,0.3452366666666667,3,8,2020-06-18,22.0,PM,0.0,0.0,5.35,"POLYGON ((-77.01587709459628 42.87846557932455, -77.01596324459061 42.878481699325526, -77.01596019601607 42.87849041793347, -77.01587404601023 42.878474297930474, -77.01587709459628 42.87846557932455))",POINT (-77.01591864530316 42.878477998628576),0.0,0.0
20200618,41,0.0366483870967742,0.0697419354838709,0.0652064516129032,0.343941935483871,3,9,2020-06-18,5.0,PM,0.0,0.0,13.0,"POLYGON ((-77.01596324459061 42.878481699325526, -77.0160529845847 42.87849893932652, -77.01604993602213 42.87850765793659, -77.01596019601607 42.87849041793347, -77.01596324459061 42.878481699325526))",POINT (-77.0160065903032 42.878494678630595),0.0,0.0
20200618,42,0.0363642857142857,0.0712678571428571,0.0650785714285714,0.3391785714285714,3,10,2020-06-18,23.0,PM,0.0,0.0,13.05,"POLYGON ((-77.0160529845847 42.87849893932652, -77.01613963457898 42.878515279327495, -77.016136586028 42.87852399793961, -77.01604993602213 42.87850765793659, -77.0160529845847 42.87849893932652))",POINT (-77.01609478530331 42.87851146863263),0.0,0.0
20200618,44,0.0392166666666666,0.0741899999999999,0.0676233333333333,0.3397333333333333,3,12,2020-06-18,11.0,PM,0.0,0.0,0.0,"POLYGON ((-77.01622501457337 42.878531369328435, -77.0163129745676 42.87854819932944, -77.01630992603975 42.87855691794567, -77.0162219660338 42.87854008794258, -77.01622501457337 42.878531369328435))",POINT (-77.01626747030349 42.87854414363661),0.0,0.0
