acquired,plot,blue,green,red,nir,veg_smr,ndvi,evi,arvi,savi,msavi,msavi_exp,gcc,gri,row,panel,Date,Treatment,Block,PM_severity,DM_severity,total_dis,geometry,centroid,PM_inc,DM_inc
20200618,1,0.0400437489151954,0.0774906277656555,0.0712156221270561,0.3535749912261963,0.6256380081176758,0.6646447777748108,0.4768523573875427,0.5509691834449768,0.4579418897628784,0.3162328600883484,0.4858260154724121,0.4107153713703155,1.0896800756454468,1,1,2020-06-18,5.0,PM,0.0,0.0,0.0,"POLYGON ((-77.0152645742787 42.878300949250196, -77.01535545427274 42.87831851925121, -77.01535240633272 42.87832723797974, -77.0152615263266 42.87830966797658, -77.0152645742787 42.878300949250196))",POINT (-77.0153084903025 42.8783140936145),0.0,0.0
20200618,2,0.0446933348973592,0.0818066596984863,0.0771333376566569,0.3365866661071777,0.561785888671875,0.6270840326944987,0.4431117375691731,0.5088881810506185,0.4259119669596354,0.2730437596638997,0.4382202784220377,0.4018922805786132,1.0617162704467773,1,2,2020-06-18,9.0,PM,0.0,0.05,5.05,"POLYGON ((-77.01535545427274 42.87831851925121, -77.01544069426711 42.87833411925217, -77.01543764633853 42.878342837982714, -77.01535240633272 42.87832723797974, -77.01535545427274 42.87831851925121))",POINT (-77.0153965503027 42.87833067861654),0.0,5.0
20200618,4,0.0401214276041303,0.0763964312417166,0.0706928585256849,0.3434821537562779,0.6050415720258441,0.6584469931466239,0.4650744029453822,0.5445998396192279,0.4475263868059431,0.2979348727634975,0.470935617174421,0.4084958348955427,1.0835417338779991,1,4,2020-06-18,18.0,PM,0.0,0.0,0.5,"POLYGON ((-77.01552730426143 42.878350659253144, -77.01561588425558 42.87836680925413, -77.01561283635041 42.87837552798884, -77.0155242563444 42.87835937798574, -77.01552730426143 42.878350659253144))",POINT (-77.01557007030289 42.87836309362055),0.0,0.0
20200618,5,0.0348620702480447,0.0734965554599104,0.0607724107544997,0.3582792939810917,0.6726172874713766,0.7096668111866918,0.508857825706745,0.610101765599744,0.4854021401240908,0.3454039672325397,0.5293785950233196,0.4348314877214103,1.2112071596342942,1,5,2020-06-18,6.0,PM,0.0,0.0,15.1,"POLYGON ((-77.01561588425558 42.87836680925413, -77.01570014425 42.878381989255075, -77.01569709635612 42.87839070799176, -77.01561283635041 42.87837552798884, -77.01561588425558 42.87836680925413))",POINT (-77.01565649030296 42.878378758622546),0.0,0.0
20200618,6,0.039300000667572,0.0750699996948242,0.0688933372497558,0.3378166516621907,0.5989831288655599,0.6612131118774414,0.4616887410481771,0.5485804239908855,0.4448753039042155,0.290189266204834,0.4666376113891601,0.409891668955485,1.0908762613932292,1,6,2020-06-18,2.0,PM,0.0,0.0,5.65,"POLYGON ((-77.01570014425 42.878381989255075, -77.01579094424405 42.87839937925609, -77.01578789636228 42.878408097994935, -77.01569709635612 42.87839070799176, -77.01570014425 42.878381989255075))",POINT (-77.01574402030295 42.87839504362453),0.0,0.0
20200618,6,0.039300000667572,0.0750699996948242,0.0688933372497558,0.3378166516621907,0.5989831288655599,0.6612131118774414,0.4616887410481771,0.5485804239908855,0.4448753039042155,0.290189266204834,0.4666376113891601,0.409891668955485,1.0908762613932292,1,6,2020-06-18,2.0,PM,0.0,0.0,2.0,"POLYGON ((-77.01570014425 42.878381989255075, -77.01579094424405 42.87839937925609, -77.01578789636228 42.878408097994935, -77.01569709635612 42.87839070799176, -77.01570014425 42.878381989255075))",POINT (-77.01574402030295 42.87839504362453),,
20200618,7,0.0371296317489058,0.0727888875537448,0.0630481508043077,0.3444000173498083,0.6337670220269097,0.6905826992458768,0.4870582156711154,0.5895503715232566,0.4650800139815719,0.3137103186713325,0.4970827102661133,0.4209939462167245,1.1554124620225694,1,7,2020-06-18,15.0,PM,0.0,0.0,0.35,"POLYGON ((-77.01579094424405 42.87839937925609, -77.01587402423856 42.87841479925702, -77.01587097636792 42.87842351799784, -77.01578789636228 42.878408097994935, -77.01579094424405 42.87839937925609))",POINT (-77.01583096030309 42.87841144862656),0.0,0.0
20200618,8,0.0361066659291585,0.0725266695022583,0.0608800013860066,0.3561200141906738,0.667346700032552,0.7079369862874348,0.5088237126668295,0.6122008641560872,0.4828885078430175,0.3408104578653971,0.5250102361043294,0.4280095418294271,1.1924148559570311,1,8,2020-06-18,11.0,PM,0.0,0.0,5.2,"POLYGON ((-77.01587402423856 42.87841479925702, -77.01596069423286 42.878431769258, -77.01595764637376 42.87844048800086, -77.01587097636792 42.87842351799784, -77.01587402423856 42.87841479925702))",POINT (-77.01591583530309 42.8784276436285),0.0,0.0
20200618,9,0.0385838708569926,0.0739354856552616,0.0662548388204267,0.3339774224065965,0.5988122263262349,0.6688469917543473,0.4641129278367565,0.5610047001992503,0.4460403688492314,0.2877232028592017,0.4684003399264428,0.4139627641247165,1.11806881812311,1,9,2020-06-18,10.0,PM,0.0,0.0,6.15,"POLYGON ((-77.01596069423286 42.878431769258, -77.01605424422672 42.878449719259045, -77.01605119638012 42.87845843800412, -77.01595764637376 42.87844048800086, -77.01596069423286 42.878431769258))",POINT (-77.01600594530318 42.87844510363057),0.0,5.0
20200618,9,0.0385838708569926,0.0739354856552616,0.0662548388204267,0.3339774224065965,0.5988122263262349,0.6688469917543473,0.4641129278367565,0.5610047001992503,0.4460403688492314,0.2877232028592017,0.4684003399264428,0.4139627641247165,1.11806881812311,1,9,2020-06-18,10.0,PM,0.0,0.05,5.05,"POLYGON ((-77.01596069423286 42.878431769258, -77.01605424422672 42.878449719259045, -77.01605119638012 42.87845843800412, -77.01595764637376 42.87844048800086, -77.01596069423286 42.878431769258))",POINT (-77.01600594530318 42.87844510363057),,
