acquired,plot,blue,green,red,nir,veg_smr,savi_exp,savi,msavi,evi,arvi,gri,ndvi,nir_blue,nir_green,red_blue,green_red,green_blue,row,panel,Date,Treatment,Block,PM_severity,DM_severity,total_dis,geometry,centroid,PM_inc,DM_inc,DMCast_events,GDM_sev,GDM_inc,predicted,predict_correct
20210816,1,0.0192687511444091,0.072103127837181,0.0496999993920326,0.2856437563896179,0.5502005219459534,0.4377470910549164,0.4232611358165741,0.2261665165424347,0.4094905257225036,0.5610268712043762,1.472830295562744,0.702613890171051,0.8728572726249695,0.5960641503334045,0.4558059573173523,0.1884058117866516,0.5894474387168884,1,1,2021-08-17,5.0,DM,0.0,0.9,0.9,"POLYGON ((-77.0152645742787 42.878300949250196, -77.01535545427274 42.87831851925121, -77.01535240633272 42.87832723797974, -77.0152615263266 42.87830966797658, -77.0152645742787 42.878300949250196))",POINT (-77.0153084903025 42.8783140936145),0.0,20.0,74,low,low,low,correct
20210816,2,0.0225966691970825,0.0743333339691162,0.0555433352788289,0.2613633314768473,0.4714458465576172,0.3727332750956217,0.3779958407084147,0.1701081275939941,0.361085033416748,0.4950516700744629,1.3473678588867188,0.6504041671752929,0.842104721069336,0.5577482223510742,0.4337468783060709,0.146997849146525,0.5435281117757161,1,2,2021-08-17,7.0,DM,0.0,3.2,3.25,"POLYGON ((-77.01535545427274 42.87831851925121, -77.01544069426711 42.87833411925217, -77.01543764633853 42.878342837982714, -77.01535240633272 42.87832723797974, -77.01535545427274 42.87831851925121))",POINT (-77.0153965503027 42.87833067861654),0.0,30.0,74,low,high,low,correct
20210816,3,0.0201033333937327,0.0735199928283691,0.0545233329137166,0.2652833302815755,0.4870989163716634,0.3835509618123372,0.3856270790100097,0.1791034698486328,0.3654264450073242,0.4985314051310221,1.3551671346028646,0.6597735087076823,0.8600816090901693,0.5665358861287435,0.473799196879069,0.1502649148305257,0.5804798126220703,1,3,2021-08-17,9.0,DM,0.15,2.55,2.7499999999999996,"POLYGON ((-77.01544069426711 42.87833411925217, -77.01552730426143 42.878350659253144, -77.0155242563444 42.87835937798574, -77.01543764633853 42.878342837982714, -77.01544069426711 42.87833411925217))",POINT (-77.01548247530272 42.87834674861851),10.0,20.0,74,low,low,low,correct
20210816,4,0.017703571489879,0.0702214283602578,0.0492249982697623,0.2695607117244175,0.5174224376678467,0.4080568722316197,0.4037258965628488,0.1961289473942347,0.3846443040030343,0.5401614734104702,1.4372471400669642,0.6922919409615653,0.877922807421003,0.5873839514596122,0.4838164874485561,0.1782470090048653,0.6064446994236538,1,4,2021-08-17,15.0,DM,0.1,3.65,3.75,"POLYGON ((-77.01552730426143 42.878350659253144, -77.01561588425558 42.87836680925413, -77.01561283635041 42.87837552798884, -77.0155242563444 42.87835937798574, -77.01552730426143 42.878350659253144))",POINT (-77.01557007030289 42.87836309362055),10.0,35.0,74,low,high,low,correct
20210816,5,0.0159724138934036,0.0698344789702316,0.0474689664511845,0.2792482704951845,0.5472577193687702,0.4323815970585264,0.4205734647553542,0.2174555350994241,0.4012216041828024,0.5598681219692888,1.4802656502559268,0.7101325988769531,0.892584438981681,0.6004210504992255,0.5076578074488146,0.1926771196825751,0.6352296368829136,1,5,2021-08-17,3.0,DM,0.0,13.7,13.7,"POLYGON ((-77.01561588425558 42.87836680925413, -77.01570014425 42.878381989255075, -77.01569709635612 42.87839070799176, -77.01561283635041 42.87837552798884, -77.01561588425558 42.87836680925413))",POINT (-77.01565649030296 42.878378758622546),0.0,75.0,74,high,high,low,incorrect
20210816,6,0.0157633344332377,0.0713166634241739,0.048686663309733,0.2780666669209798,0.5397474924723308,0.4259515444437662,0.4161660194396973,0.2130637168884277,0.3949307123819986,0.5467788060506185,1.471095911661784,0.7027292887369792,0.8937770843505859,0.5924466451009115,0.5243644078572591,0.1900090217590332,0.6471705118815104,1,6,2021-08-17,11.0,DM,0.8,6.25,7.05,"POLYGON ((-77.01570014425 42.878381989255075, -77.01579094424405 42.87839937925609, -77.01578789636228 42.878408097994935, -77.01569709635612 42.87839070799176, -77.01570014425 42.878381989255075))",POINT (-77.01574402030295 42.87839504362453),15.0,50.0,74,low,high,low,correct
20210816,7,0.0166111113848509,0.0685592580724645,0.0453481497587981,0.2861629592047797,0.5698672400580512,0.4523532302291305,0.4344006997567636,0.2343566329390914,0.4199540879991319,0.5893991258409288,1.5204699480975117,0.7272273169623481,0.8914194460268374,0.6139547559950087,0.4749089700204355,0.2057938752350983,0.6178169250488281,1,7,2021-08-17,8.0,DM,0.1,1.25,1.35,"POLYGON ((-77.01579094424405 42.87839937925609, -77.01587402423856 42.87841479925702, -77.01587097636792 42.87842351799784, -77.01578789636228 42.878408097994935, -77.01579094424405 42.87839937925609))",POINT (-77.01583096030309 42.87841144862656),5.0,15.0,74,low,low,low,correct
20210816,8,0.0174433330694834,0.0704533338546753,0.0461299975713094,0.2953033447265625,0.5861884435017903,0.4667566299438476,0.4442200978597005,0.250420602162679,0.4323532104492187,0.5965637842814128,1.5417902628580729,0.7307655970255534,0.8899620691935222,0.6152938842773438,0.4668271064758301,0.2115745226542155,0.6138111114501953,1,8,2021-08-17,4.0,DM,1.25,3.85,5.1,"POLYGON ((-77.01587402423856 42.87841479925702, -77.01596069423286 42.878431769258, -77.01595764637376 42.87844048800086, -77.01587097636792 42.87842351799784, -77.01587402423856 42.87841479925702))",POINT (-77.01591583530309 42.8784276436285),10.0,25.0,74,low,low,low,correct
20210816,9,0.0161612918300013,0.0684645175933837,0.04559999896634,0.2828838594498173,0.5621045635592553,0.4454780086394279,0.4296263417889995,0.2276585178990517,0.4133184494510774,0.5816051113990045,1.5138335689421625,0.7235464280651461,0.8937425921040196,0.6109870172316029,0.4996337890625,0.2032297503563665,0.6332519285140499,1,9,2021-08-17,13.0,DM,0.0,12.8,12.8,"POLYGON ((-77.01596069423286 42.878431769258, -77.01605424422672 42.878449719259045, -77.01605119638012 42.87845843800412, -77.01595764637376 42.87844048800086, -77.01596069423286 42.878431769258))",POINT (-77.01600594530318 42.87844510363057),0.0,65.0,74,high,high,low,incorrect
20210816,10,0.0179499983787536,0.0691142891134534,0.0468964321272713,0.2785071304866245,0.5456732000623431,0.4323841503688267,0.4208694185529436,0.2171015058244977,0.4062662805829729,0.5727333341326032,1.485769271850586,0.7127631051199776,0.8804284504481724,0.6031299999782017,0.4616369860512869,0.1940153326307024,0.5991958890642438,1,10,2021-08-17,14.0,DM,0.6,11.2,11.8,"POLYGON ((-77.01605424422672 42.878449719259045, -77.01613850422115 42.87846450926, -77.01613545638585 42.87847322800707, -77.01605119638012 42.87845843800412, -77.01605424422672 42.878449719259045))",POINT (-77.01609485030343 42.87846147363265),10.0,50.0,74,high,high,low,incorrect
